symbol,status,bars,reason,kind
BTC,included,221,,crypto
ETH,included,221,,crypto
ATOM,included,221,,crypto
MATIC,excluded,0,No data from Hyperliquid or Yahoo Finance (tried symbol: MATIC-USD),crypto
DYDX,included,221,,crypto
SOL,included,221,,crypto
AVAX,included,221,,crypto
BNB,included,221,,crypto
APE,included,221,,crypto
OP,included,221,,crypto
LTC,included,221,,crypto
ARB,included,221,,crypto
DOGE,included,221,,crypto
INJ,included,221,,crypto
SUI,included,221,,crypto
kPEPE,included,221,,crypto
CRV,included,221,,crypto
LDO,included,221,,crypto
LINK,included,221,,crypto
STX,included,221,,crypto
RNDR,excluded,0,No data from Hyperliquid or Yahoo Finance (tried symbol: RNDR-USD),crypto
CFX,included,221,,crypto
FTM,excluded,0,No data from Hyperliquid or Yahoo Finance (tried symbol: FTM-USD),crypto
GMX,included,221,,crypto
SNX,included,221,,crypto
XRP,included,221,,crypto
BCH,included,221,,crypto
APT,included,221,,crypto
AAVE,included,221,,crypto
COMP,included,221,,crypto
MKR,excluded,0,No data from Hyperliquid; no Yahoo Finance mapping known,crypto
WLD,included,221,,crypto
FXS,included,52,,crypto
HPOS,excluded,0,No data from Hyperliquid; no Yahoo Finance mapping known,crypto
RLB,excluded,0,No data from Hyperliquid; no Yahoo Finance mapping known,crypto
UNIBOT,excluded,0,No data from Hyperliquid; no Yahoo Finance mapping known,crypto
YGG,included,221,,crypto
TRX,included,221,,crypto
kSHIB,included,221,,crypto
UNI,included,221,,crypto
SEI,included,221,,crypto
RUNE,included,221,,crypto
OX,excluded,0,No data from Hyperliquid; no Yahoo Finance mapping known,crypto
FRIEND,excluded,0,No data from Hyperliquid; no Yahoo Finance mapping known,crypto
SHIA,excluded,0,No data from Hyperliquid; no Yahoo Finance mapping known,crypto
CYBER,excluded,0,No data from Hyperliquid; no Yahoo Finance mapping known,crypto
ZRO,included,221,,crypto
BLZ,included,219,,crypto
DOT,included,221,,crypto
BANANA,included,221,,crypto
TRB,included,221,,crypto
FTT,included,191,,crypto
LOOM,included,219,,crypto
OGN,excluded,0,No data from Hyperliquid; no Yahoo Finance mapping known,crypto
RDNT,included,219,,crypto
ARK,included,221,,crypto
BNT,included,219,,crypto
CANTO,included,8,,crypto
REQ,excluded,0,No data from Hyperliquid; no Yahoo Finance mapping known,crypto
