coin,category,source_tried,reason
MATIC,no_price_data,MATIC-USD,No data from Hyperliquid or Yahoo Finance (tried symbol: MATIC-USD)
RNDR,no_price_data,RNDR-USD,No data from Hyperliquid or Yahoo Finance (tried symbol: RNDR-USD)
FTM,no_price_data,FTM-USD,No data from Hyperliquid or Yahoo Finance (tried symbol: FTM-USD)
MKR,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
HPOS,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
RLB,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
UNIBOT,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
OX,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
FRIEND,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
SHIA,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
CYBER,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
OGN,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
REQ,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
STG,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
NFTI,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
NTRN,no_price_data,NTRN-USD,No data from Hyperliquid or Yahoo Finance (tried symbol: NTRN-USD)
PANDORA,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
PIXEL,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
AI,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
MYRO,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
OMNI,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
LISTA,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
kDOGS,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
CATI,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
NEIROETH,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
JELLY,no_price_data,hyperliquid-only,No data from Hyperliquid; no Yahoo Finance mapping known
FXS,insufficient_history,,Only 96 closes (need 100)
CANTO,insufficient_history,,Only 50 closes (need 100)
AI16Z,insufficient_history,,Only 35 closes (need 100)
LAUNCHCOIN,insufficient_history,,Only 23 closes (need 100)
AZTEC,insufficient_history,,Only 89 closes (need 100)
CHIP,insufficient_history,,Only 20 closes (need 100)
xyz:TSM,insufficient_history,,Only 98 closes (need 100)
